Z,symbol,name,isotope,monoisotopic.mass,isotopic.composition,avg.isotopic.weight
88,223Ra,radium,223,223.018 5023(27),,[226]
88,224Ra,radium,224,224.020 2120(23),,[226]
88,Ra,radium,226,226.025 4103(25),,[226]
88,228Ra,radium,228,228.031 0707(26),,[226]
89,Ac,actinium,227,227.027 7523(25),,[227]
90,230Th,thorium,230,230.033 1341(19),,232.0377(4)
90,Th,thorium,232,232.038 0558(21),1,232.0377(4)
91,Pa,protactinium,231,231.035 8842(24),1,231.03588(2)
92,233U,uranium,233,233.039 6355(29),,238.02891(3)
92,234U,uranium,234,234.040 9523(19),0.000 054(5),238.02891(3)
92,235U,uranium,235,235.043 9301(19),0.007 204(6),238.02891(3)
92,236U,uranium,236,236.045 5682(19),,238.02891(3)
92,U,uranium,238,238.050 7884(20),0.992 742(10),238.02891(3)
93,236Np,neptunium,236,236.046 570(54),,[237]
93,Np,neptunium,237,237.048 1736(19),,[237]
94,238Pu,plutonium,238,238.049 5601(19),,[244]
94,239Pu,plutonium,239,239.052 1636(19),,[244]
94,240Pu,plutonium,240,240.053 8138(19),,[244]
94,241Pu,plutonium,241,241.056 8517(19),,[244]
94,242Pu,plutonium,242,242.058 7428(20),,[244]
94,Pu,plutonium,244,244.064 2053(56),,[244]
95,Am,americium,241,241.056 8293(19),,
95,243Am,americium,243,243.061 3813(24),,
96,Cm,curium,243,243.061 3893(22),,  
96,244Cm,curium,244,244.062 7528(19),,
96,245Cm,curium,245,245.065 4915(22),,
96,246Cm,curium,246,246.067 2238(22),,
96,247Cm,curium,247,247.070 3541(47),,
96,248Cm,curium,248,248.072 3499(56),,
97,Bk,berkelium,247,247.070 3073(59),,
97,249Bk,berkelium,249,249.074 9877(27),,
98,Cf,californium,249,249.074 8539(23),,  
98,250Cf,californium,250,250.076 4062(22),,
98,251Cf,californium,251,251.079 5886(48),,
98,251Cf,californium,252,252.081 6272(56),,
99,Es,einsteinium,252,252.082 980(54),,  
100,Fm,fermium,257,257.095 1061(69),,  
101,Md,mendelevium,258,258.098 4315(50),,  
101,260Md,mendelevium,260,260.103 65(34#),,
102,No,nobelium,259,259.101 03(11#),,  
103,Lr,lawrencium,262,262.109 61(22#),,
104,Rf,rutherfordium,267,267.121 79(62#),,  
105,Db,dubnium,268,268.125 67(57#),,
106,Sg,seaborgium,271,271.133 93(63#),,  
107,Bh,bohrium,272,272.138 26(58#),,  
108,Hs,hassium,270,270.134 29(27#),,  
109,Mt,meitnerium,276,276.151 59(59#),,
110,Ds,darmstadtium,281,281.164 51(59#),,
111,Rg,roentgenium,280,280.165 14(61#),,
112,Cn,copernicium,285,285.177 12(60#),,  
113,Nh,nihonium,284,284.178 73(62#),,
114,Fl,flerovium,289,289.190 42(60#),,
115,Mc,moscovium,288,288.192 74(62#),,
116,Lv,livermorium,293,293.204 49(60#),,
117,Ts,tennessine,292,292.207 46(75#),,
118,Og,oganesson,294,294.213 92(71#),,
